Date,Open,Close,High,Low,Volume
11/5/2019 9:30,3080.8,3080.49,3081.47,3080.3,0
11/5/2019 9:31,3080.33,3079.36,3080.33,3079.15,0
11/5/2019 9:32,3079.43,3079.68,3080.46,3079.43,0
11/5/2019 9:33,3079.73,3079.15,3080.22,3079.12,0
11/5/2019 9:34,3079.2,3079.62,3080.03,3079.07,0
11/5/2019 9:35,3079.45,3079.89,3080.62,3079.45,0
11/5/2019 9:36,3079.75,3078.45,3079.75,3078.45,0
11/5/2019 9:37,3078.5,3078.17,3078.58,3078.05,0
11/5/2019 9:38,3078.24,3077.77,3078.38,3077.66,0
11/5/2019 9:39,3077.74,3077.97,3078.36,3077.74,0
11/5/2019 9:40,3077.95,3078.57,3078.64,3077.84,0
11/5/2019 9:41,3078.61,3078.66,3078.76,3078.31,0
11/5/2019 9:42,3078.63,3078.68,3078.92,3078.31,0
11/5/2019 9:43,3078.71,3078.59,3078.99,3078.54,0
11/5/2019 9:44,3078.6,3079.07,3079.07,3078.46,0
11/5/2019 9:45,3079.06,3077.8,3079.21,3077.78,0
11/5/2019 9:46,3077.94,3078.13,3078.35,3077.86,0
11/5/2019 9:47,3078.12,3077.79,3078.34,3077.59,0
11/5/2019 9:48,3077.8,3078.32,3078.63,3077.8,0
11/5/2019 9:49,3078.28,3079.07,3079.1,3078.22,0
11/5/2019 9:50,3079.02,3079.41,3079.41,3078.68,0
11/5/2019 9:51,3079.44,3079.26,3079.65,3079.18,0
11/5/2019 9:52,3079.21,3078.68,3079.3,3078.68,0
11/5/2019 9:53,3078.62,3078.89,3078.98,3078.35,0
11/5/2019 9:54,3078.91,3079.18,3079.26,3078.91,0
11/5/2019 9:55,3079.23,3079.56,3079.56,3079.12,0
11/5/2019 9:56,3079.59,3079.52,3080.05,3079.46,0
11/5/2019 9:57,3079.53,3079.18,3079.65,3079.1,0
11/5/2019 9:58,3079.2,3079.03,3079.3,3078.91,0
11/5/2019 9:59,3079.01,3078.53,3079.05,3078.4,0
11/5/2019 10:00,3080.94,3082.2,3082.24,3080.12,0
11/5/2019 10:01,3082.26,3083.89,3083.9,3082.09,0
11/5/2019 10:02,3083.89,3083.15,3083.89,3082.81,0
11/5/2019 10:03,3083.17,3083,3083.95,3083,0
11/5/2019 10:04,3082.95,3082.3,3082.97,3082.28,0
