Date,Id,Open,High,Low,Close,Volume,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,m_low,m_high,m_close,m_open,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,TwoDayHigh,TwoDayLow,FiveDayHigh,FiveDayLow,SMA100,SMA50,SMA21,SMA14,SMA7,AVVol,RSI,P,S1,S2,S3,R1,R2,R3,m_P,m_S1,m_S2,m_S3,m_R1,m_R2,m_R3,C_m_R1,C_m_R2,C_m_S1,C_m_S2,Tenkan-sen,Kijun-sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,BB_UL_Per,Support,Resistance,DCL_10_15,DCM_10_15,DCU_10_15
07-03-2022,99,3450,3548,3431.55,3484.9,3054130,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3402.88996,3656.8525,3910.81504,13.88967914,0.161460898,-73.16395513,-17.45884959,-55.70510554,3561.2,3431.55,3578.6,3455.9,3648.88,3679.39,3631.34,3591.67,3537.42,3279472.33,36.17,3524.2,3487.2,3450.05,3375.9,3561.35,3598.35,3672.5,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,7.88,15.58,2.86,10.06,3529.5,3636.8,3583.15,3717.05,3661.95,14.93,3431.55,,3391.1,3622.6,3854.1
08-03-2022,100,3460,3609,3460,3599.95,3300990,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3399.223586,3647.9,3896.576414,13.63394908,0.40358957,-65.93867277,-8.186853784,-57.75181899,3609,3431.55,3578.6,3431.55,3647.91,3676.27,3628.48,3592.78,3553.05,3285760,46.29,3488.15,3428.3,3371.7,3255.25,3544.75,3604.6,3721.05,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,6.05,13.62,3.72,10.97,3507,3636.8,3571.9,3717.05,3528.05,14.63,,,3391.1,3622.6,3854.1
09-03-2022,101,3605,3654,3597.05,3632.6,2719650,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3397.535239,3642.3575,3887.179761,13.44306596,0.480072278,-56.92184275,0.663980993,-57.58582374,3654,3460,3609,3431.55,3647.61,3674.56,3628.86,3598.09,3572.94,3267801.33,48.78,3556.32,3503.64,3407.32,3258.32,3652.64,3705.32,3854.32,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,4.75,12.22,7.82,15.37,3522.55,3636.8,3579.675,3717.05,3471.9,14.41,,,3391.1,3622.6,3854.1
10-03-2022,102,3684,3684,3615,3620.95,2005440,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3396.545298,3635.3775,3874.209702,13.13933431,0.46979574,-50.13803754,5.958228961,-56.0962665,3684,3597.05,3654,3431.55,3647.08,3672.46,3628.14,3601.13,3584.94,3223632.67,47.93,3627.88,3601.76,3570.93,3513.98,3658.71,3684.83,3741.78,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,3.89,11.31,8.36,15.94,3557.775,3636.8,3597.2875,3717.05,3556.8,14.06,,,3391.1,3613.05,3835
11-03-2022,103,3603.25,3639.85,3592.85,3599.15,1623420,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3395.805169,3626.8175,3857.829831,12.73912081,0.440116833,-45.99074813,8.084414695,-54.07516283,3684,3592.85,3684,3431.55,3646.13,3669.58,3625.5,3600.87,3588.49,3087136.67,46.3,3639.98,3595.96,3570.98,3501.98,3664.96,3708.98,3777.98,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,5.15,12.66,7.7,15.23,3557.775,3636.8,3597.2875,3717.05,3628.65,13.61,,,3431.55,3629.675,3827.8
14-03-2022,104,3580,3648.35,3580,3643,1765690,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3395.170494,3624.22,3853.269506,12.63993391,0.540995504,-38.71933053,12.28466584,-51.00399637,3648.35,3580,3684,3431.55,3646.07,3668.54,3627.1,3606.49,3602.12,3041197.67,49.98,3610.62,3581.39,3563.62,3516.62,3628.39,3657.62,3704.62,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,4.91,12.4,7.31,14.82,3557.775,3622.6,3590.1875,3717.05,3612.55,13.49,3580,,3431.55,3629.675,3827.8
15-03-2022,105,3659,3659,3585.4,3593.9,3651130,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3393.503133,3617.2275,3840.951867,12.36993621,0.447865536,-36.4979141,11.60486581,-48.10277991,3659,3580,3684,3460,3645.04,3665.61,3624.08,3604.81,3600.06,3071589,46.16,3623.78,3599.21,3555.43,3487.08,3667.56,3692.13,3760.48,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,4.6,12.07,7.47,15,3557.775,3622.6,3590.1875,3717.05,3548.2,13.19,,,3431.55,3557.775,3684
16-03-2022,106,3640.5,3668,3616.25,3655.9,3090480,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3404.086839,3609.1325,3814.178161,11.36260093,0.614041672,-29.39568854,14.9656731,-44.36136164,3668,3585.4,3684,3580,3645.25,3665.23,3626.97,3611.62,3614.02,3104432.67,51.23,3612.77,3566.54,3539.17,3465.57,3640.14,3686.37,3759.97,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,4.35,11.8,8.4,15.98,3557.775,3622.6,3590.1875,3717.05,3546.3,12.05,,,3431.55,3557.775,3684
17-03-2022,107,3696.6,3710,3660.3,3672.75,3600450,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3416.816238,3602.115,3787.413762,10.28833126,0.690597604,-22.15211366,17.76739838,-39.91951204,3710,3616.25,3684,3580,3645.8,3665.53,3631.13,3619.77,3628.71,3158307.33,52.53,3646.72,3625.44,3594.97,3543.22,3677.19,3698.47,3750.22,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,3.17,10.53,9.72,17.4,3570.775,3622.6,3596.6875,3717.05,3561.2,10.85,,,3431.55,3570.775,3710
21-03-2022,108,3696,3713.95,3615,3626.7,2413830,3727.004529,-1,3777.050059,3727.004529,3391.1,3882.5,3554.2,3770,3428.175363,3594.24,3760.304637,9.240598113,0.597733029,-19.89800669,16.01720429,-35.91521097,3713.95,3615,3710,3580,3645.42,3664,3630.73,3620.7,3628.2,3173417,48.69,3681.02,3652.04,3631.32,3581.62,3701.74,3730.72,3780.42,3609.27,3336.04,3117.87,2626.47,3827.44,4100.67,4592.07,3.06,10.41,8.36,15.94,3586.975,3622.6,3604.7875,3717.05,3584.3,9.69,,,3431.55,3572.75,3713.95
