Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,2.250714,2.275714,2.168571,2.193571,1.966391,97230000
2004-08-20,2.193571,2.213571,2.177857,2.200000,1.972154,79195200
2004-08-23,2.204286,2.233572,2.185714,2.220000,1.990082,63665000
2004-08-24,2.232857,2.282143,2.227857,2.282143,2.045789,93534000
2004-08-25,2.276428,2.367857,2.266428,2.360714,2.116223,126404600
2004-08-26,2.360000,2.512857,2.338571,2.475714,2.219312,238964600
2004-08-27,2.477143,2.482857,2.428571,2.453571,2.199464,97203400
2004-08-30,2.428571,2.480000,2.425714,2.437143,2.184736,54535600
2004-08-31,2.433571,2.496428,2.428571,2.463571,2.208428,94140200
2004-09-01,2.450000,2.570714,2.442143,2.561429,2.296151,128931600
2004-09-02,2.535714,2.557857,2.487857,2.547143,2.283344,101581200
2004-09-03,2.500714,2.565714,2.500714,2.516428,2.255810,73367000
2004-09-07,2.528571,2.585000,2.516428,2.554286,2.289747,75489400
2004-09-08,2.550000,2.612143,2.548571,2.596429,2.327526,85881600
2004-09-09,2.578571,2.592857,2.520000,2.550000,2.285905,115334800
2004-09-10,2.547143,2.587857,2.532857,2.562143,2.296791,82003600
2004-09-13,2.562857,2.576429,2.522857,2.542143,2.278862,70494200
2004-09-14,2.517143,2.539286,2.484286,2.535000,2.272459,63705600
2004-09-15,2.525714,2.534286,2.485714,2.514286,2.253890,58167200
2004-09-16,2.514286,2.625714,2.505714,2.596429,2.327526,125479200
2004-09-17,2.610714,2.670000,2.600000,2.652857,2.378110,125577200
2004-09-20,2.634286,2.712857,2.633571,2.693571,2.414607,61250000
2004-09-21,2.696429,2.776428,2.675714,2.715000,2.433816,96663000
2004-09-22,2.721429,2.724286,2.629286,2.637143,2.364023,100422000
2004-09-23,2.645714,2.678571,2.637857,2.662143,2.386434,99351000
2004-09-24,2.675000,2.714286,2.653571,2.663571,2.387715,92372000
2004-09-27,2.639286,2.712857,2.630714,2.680714,2.403082,99379000
2004-09-28,2.675714,2.735000,2.675000,2.717143,2.435738,88296600
2004-09-29,2.709286,2.775714,2.701429,2.762857,2.476718,68377400
2004-09-30,2.785714,2.805000,2.746428,2.767857,2.481199,106253000
2004-10-01,2.794286,2.799286,2.755714,2.762143,2.476077,116351200
2004-10-04,2.798571,2.798571,2.767857,2.770714,2.483761,143521000
2004-10-05,2.754286,2.833571,2.742857,2.812143,2.520899,101540600
2004-10-06,2.821429,2.911429,2.819286,2.902857,2.602219,111575800
2004-10-07,2.895714,2.923571,2.818571,2.830000,2.536906,106537200
2004-10-08,2.825714,2.840714,2.774286,2.790000,2.501050,89807200
2004-10-11,2.771429,2.790000,2.728571,2.756428,2.470955,80967600
2004-10-12,2.750000,2.755714,2.689286,2.735000,2.451745,115047800
2004-10-13,2.776428,2.840000,2.767143,2.839286,2.545231,290752000
2004-10-14,3.085000,3.267857,3.039286,3.212857,2.880113,692106800
2004-10-15,3.205714,3.257857,3.156429,3.250000,2.913408,257782000
2004-10-18,3.192857,3.410714,3.192857,3.410714,3.057478,300188000
2004-10-19,3.435714,3.453571,3.379286,3.387143,3.036348,200498200
2004-10-20,3.370000,3.400000,3.332143,3.390714,3.039550,151277000
2004-10-21,3.391428,3.437857,3.382857,3.424286,3.069644,181126400
2004-10-22,3.395714,3.405000,3.358572,3.386429,3.035708,120766800
2004-10-25,3.371428,3.417143,3.362143,3.396429,3.044672,98161000
2004-10-26,3.389286,3.432143,3.355000,3.426429,3.071565,148590400
2004-10-27,3.465000,3.615714,3.440714,3.592857,3.220757,298373600
