MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201020,TOTAL,"1,526,225.72","650,614.11","535,246.81","339,924.47","463,336.92","84,856.92",2020-10-20,2020-10-26,2
20201013,TOTAL,"1,560,487.85","625,665.41","514,903.88","392,522.99","444,500.20","62,124.62",2020-10-13,2020-10-19,2
20201006,TOTAL,"1,618,761.40","642,333.05","464,617.39","394,439.74","417,928.74","62,124.62",2020-10-06,2020-10-12,2
20200929,TOTAL,"1,602,192.29","709,717.09","464,118.24","384,008.32","404,038.36","36,130.65",2020-09-29,2020-10-05,2
20200922,TOTAL,"1,660,897.87","733,410.79","424,234.13","397,369.67","366,877.38","17,415.12",2020-09-22,2020-09-28,2
20200915,TOTAL,"1,691,913.09","726,648.23","425,536.56","409,028.35","334,274.53","12,804.20",2020-09-15,2020-09-21,2
20200908,TOTAL,"1,694,194.83","729,426.49","419,823.18","404,419.94","347,431.05","4,909.46",2020-09-08,2020-09-14,2
20200901,TOTAL,"1,665,941.47","736,559.08","452,927.30","485,801.73","255,974.18","3,001.19",2020-09-01,2020-09-07,2
20200825,TOTAL,"1,800,355.37","616,538.78","461,331.72","484,700.92","234,918.91","2,359.25",2020-08-25,2020-08-31,2
20200818,TOTAL,"1,926,297.96","570,821.66","498,164.98","472,470.19","131,573.19",876.98,2020-08-18,2020-08-24,2
20200811,TOTAL,"1,959,549.51","605,265.42","554,010.78","366,042.31","115,336.94",0.00,2020-08-11,2020-08-17,2
20200804,TOTAL,"1,926,436.18","666,339.67","551,033.19","361,671.82","94,724.09",0.00,2020-08-04,2020-08-10,2
20200728,TOTAL,"1,877,755.36","735,510.27","562,932.86","336,557.21","87,449.25",0.00,2020-07-28,2020-08-03,2
20200721,TOTAL,"1,888,867.29","763,628.37","577,188.94","292,198.30","78,322.05",0.00,2020-07-21,2020-07-27,2
20200714,TOTAL,"2,016,461.80","754,219.60","480,400.98","266,533.38","82,589.19",0.00,2020-07-14,2020-07-20,2
20200707,TOTAL,"2,101,438.38","720,249.18","447,008.44","260,884.53","70,624.43",0.00,2020-07-07,2020-07-13,2
20200630,TOTAL,"2,226,711.07","602,489.88","453,829.96","242,346.62","72,556.27","2,271.16",2020-06-30,2020-07-06,2
20200623,TOTAL,"2,247,458.54","583,897.05","471,559.79","228,760.71","68,528.86",0.00,2020-06-23,2020-06-29,2
20200616,TOTAL,"2,277,676.17","616,662.23","406,809.32","230,628.38","68,428.86",0.00,2020-06-16,2020-06-22,2
20200609,TOTAL,"2,431,281.23","524,918.81","390,016.50","200,149.02","53,839.39",0.00,2020-06-09,2020-06-15,2
20200602,TOTAL,"2,514,295.18","484,704.32","368,906.79","193,752.50","38,546.17",0.00,2020-06-02,2020-06-08,2
20200526,TOTAL,"2,559,512.88","483,110.05","341,738.19","178,675.93","37,167.91",0.00,2020-05-26,2020-06-01,2
20200519,TOTAL,"2,523,693.69","507,609.43","349,113.02","180,588.83","39,199.99",0.00,2020-05-19,2020-05-25,2
20200512,TOTAL,"2,566,031.25","510,106.75","310,632.61","177,125.35","36,309.00",0.00,2020-05-12,2020-05-18,2
20200505,TOTAL,"2,673,270.94","442,955.63","295,458.41","159,229.71","29,290.26",0.00,2020-05-05,2020-05-11,2
