Date,Open,High,Low,Close,Volume
3-Jan-22,17625.70,17625.70,17625.70,17625.70,16181
4-Jan-22,17805.25,17805.25,17805.25,17805.25,18604
5-Jan-22,17925.25,17925.25,17925.25,17925.25,23737
6-Jan-22,17745.90,17745.90,17745.90,17745.90,22644
7-Jan-22,17812.70,17812.70,17812.70,17812.70,21448
10-Jan-22,18003.30,18003.30,18003.30,18003.30,20854
11-Jan-22,18055.75,18055.75,18055.75,18055.75,20781
12-Jan-22,18212.35,18212.35,18212.35,18212.35,22299
13-Jan-22,18257.80,18257.80,18257.80,18257.80,28671
14-Jan-22,18255.75,18255.75,18255.75,18255.75,21025
17-Jan-22,18308.10,18308.10,18308.10,18308.10,23859
18-Jan-22,18113.05,18113.05,18113.05,18113.05,20853
19-Jan-22,17938.40,17938.40,17938.40,17938.40,25310
20-Jan-22,17757.00,17757.00,17757.00,17757.00,25863
21-Jan-22,17617.15,17617.15,17617.15,17617.15,25942
24-Jan-22,17149.10,17149.10,17149.10,17149.10,28388
25-Jan-22,17277.95,17277.95,17277.95,17277.95,31344
27-Jan-22,17110.15,17110.15,17110.15,17110.15,36297
28-Jan-22,17101.95,17101.95,17101.95,17101.95,29800
31-Jan-22,17339.85,17339.85,17339.85,17339.85,25474
1-Feb-22,17576.85,17576.85,17576.85,17576.85,30034
2-Feb-22,17780.00,17780.00,17780.00,17780.00,23612
3-Feb-22,17560.20,17560.20,17560.20,17560.20,20373
4-Feb-22,17516.30,17516.30,17516.30,17516.30,20652
7-Feb-22,17213.60,17213.60,17213.60,17213.60,21925
8-Feb-22,17266.75,17266.75,17266.75,17266.75,23846
9-Feb-22,17463.80,17463.80,17463.80,17463.80,19328
10-Feb-22,17605.85,17605.85,17605.85,17605.85,22211
11-Feb-22,17374.75,17374.75,17374.75,17374.75,23231
14-Feb-22,16842.80,16842.80,16842.80,16842.80,24976
15-Feb-22,17352.45,17352.45,17352.45,17352.45,24766
16-Feb-22,17322.20,17322.20,17322.20,17322.20,21128
17-Feb-22,17304.60,17304.60,17304.60,17304.60,19381
18-Feb-22,17276.30,17276.30,17276.30,17276.30,16127
21-Feb-22,17206.65,17206.65,17206.65,17206.65,18726
22-Feb-22,17092.20,17092.20,17092.20,17092.20,24041
23-Feb-22,17063.25,17063.25,17063.25,17063.25,17662
24-Feb-22,16247.95,16247.95,16247.95,16247.95,36651
25-Feb-22,16658.40,16658.40,16658.40,16658.40,25744
28-Feb-22,16793.90,16793.90,16793.90,16793.90,33832
2-Mar-22,16605.95,16605.95,16605.95,16605.95,39407
3-Mar-22,16498.05,16498.05,16498.05,16498.05,31413
4-Mar-22,16245.35,16245.35,16245.35,16245.35,34821
7-Mar-22,15863.15,15863.15,15863.15,15863.15,38039
8-Mar-22,16013.45,16013.45,16013.45,16013.45,38704
9-Mar-22,16345.35,16345.35,16345.35,16345.35,35329
10-Mar-22,16594.90,16594.90,16594.90,16594.90,35514
11-Mar-22,16630.45,16630.45,16630.45,16630.45,24720
14-Mar-22,16871.30,16871.30,16871.30,16871.30,23824
15-Mar-22,16663.00,16663.00,16663.00,16663.00,29731
16-Mar-22,16975.35,16975.35,16975.35,16975.35,21361
17-Mar-22,17287.05,17287.05,17287.05,17287.05,35367
21-Mar-22,17117.60,17117.60,17117.60,17117.60,22886
22-Mar-22,17315.50,17315.50,17315.50,17315.50,27348
23-Mar-22,17245.65,17245.65,17245.65,17245.65,24705
24-Mar-22,17222.75,17222.75,17222.75,17222.75,25012
25-Mar-22,17153.00,17153.00,17153.00,17153.00,20031
28-Mar-22,17222.00,17222.00,17222.00,17222.00,19976
29-Mar-22,17325.30,17325.30,17325.30,17325.30,20306
30-Mar-22,17498.25,17498.25,17498.25,17498.25,28907
31-Mar-22,17464.75,17464.75,17464.75,17464.75,24032
1-Apr-22,17670.45,17670.45,17670.45,17670.45,21132
4-Apr-22,18053.40,18053.40,18053.40,18053.40,38624
5-Apr-22,17957.40,17957.40,17957.40,17957.40,25097
6-Apr-22,17807.65,17807.65,17807.65,17807.65,24252
7-Apr-22,17639.55,17639.55,17639.55,17639.55,26237
8-Apr-22,17784.35,17784.35,17784.35,17784.35,25608
11-Apr-22,17674.95,17674.95,17674.95,17674.95,21002
12-Apr-22,17530.30,17530.30,17530.30,17530.30,23959
13-Apr-22,17475.65,17475.65,17475.65,17475.65,20230
18-Apr-22,17173.65,17173.65,17173.65,17173.65,30155
19-Apr-22,16958.65,16958.65,16958.65,16958.65,35467
20-Apr-22,17136.55,17136.55,17136.55,17136.55,25972
21-Apr-22,17392.60,17392.60,17392.60,17392.60,25000
22-Apr-22,17171.95,17171.95,17171.95,17171.95,23372
25-Apr-22,16953.95,16953.95,16953.95,16953.95,22700
26-Apr-22,17200.80,17200.80,17200.80,17200.80,22080
27-Apr-22,17038.40,17038.40,17038.40,17038.40,25374
28-Apr-22,17245.05,17245.05,17245.05,17245.05,28489
29-Apr-22,17102.55,17102.55,17102.55,17102.55,29583
2-May-22,17069.10,17069.10,17069.10,17069.10,21223
4-May-22,16677.60,16677.60,16677.60,16677.60,27406
5-May-22,16682.65,16682.65,16682.65,16682.65,21793
6-May-22,16411.25,16411.25,16411.25,16411.25,25473
9-May-22,16301.85,16301.85,16301.85,16301.85,23275
10-May-22,16240.05,16240.05,16240.05,16240.05,22685
11-May-22,16167.10,16167.10,16167.10,16167.10,22994
12-May-22,15808.00,15808.00,15808.00,15808.00,25352
13-May-22,15782.15,15782.15,15782.15,15782.15,27454
16-May-22,15842.30,15842.30,15842.30,15842.30,17852
17-May-22,16259.30,16259.30,16259.30,16259.30,22783
18-May-22,16240.30,16240.30,16240.30,16240.30,23890
19-May-22,15809.40,15809.40,15809.40,15809.40,24341
20-May-22,16266.15,16266.15,16266.15,16266.15,22807
23-May-22,16214.70,16214.70,16214.70,16214.70,25111
24-May-22,16125.15,16125.15,16125.15,16125.15,21896
25-May-22,16025.80,16025.80,16025.80,16025.80,21400
26-May-22,16170.15,16170.15,16170.15,16170.15,27721
27-May-22,16352.45,16352.45,16352.45,16352.45,21342
30-May-22,16661.40,16661.40,16661.40,16661.40,21217
31-May-22,16584.55,16584.55,16584.55,16584.55,52929
1-Jun-22,16522.75,16522.75,16522.75,16522.75,19350
2-Jun-22,16628.00,16628.00,16628.00,16628.00,20056
3-Jun-22,16584.30,16584.30,16584.30,16584.30,22249
6-Jun-22,16569.55,16569.55,16569.55,16569.55,17999
7-Jun-22,16416.35,16416.35,16416.35,16416.35,17922
8-Jun-22,16356.25,16356.25,16356.25,16356.25,18336
9-Jun-22,16478.10,16478.10,16478.10,16478.10,16722
