Date,Open,Close,High,Low,Date,Volume
2019-09-01,29,20,29,20,2019-09-01,10787
2019-09-02,29,31,33,23,2019-09-02,17215
2019-09-03,29,20,29,20,2019-09-03,16697
2019-09-04,24,16,24,15,2019-09-04,12104
2019-09-05,23,20,25,15,2019-09-05,12159
2019-09-06,22,24,24,20,2019-09-06,13618
2019-09-07,19,15,22,14,2019-09-07,13645
2019-09-08,13,13,15,13,2019-09-08,13472
2019-09-09,20,16,20,14,2019-09-09,17861
2019-09-10,17,25,25,16,2019-09-10,18565
2019-09-11,30,24,30,23,2019-09-11,10283
2019-09-12,24,25,26,19,2019-09-12,10102
2019-09-13,22,22,26,21,2019-09-13,17100
2019-09-14,27,28,28,21,2019-09-14,13079
2019-09-15,26,29,29,26,2019-09-15,10800
2019-09-16,30,23,30,21,2019-09-16,17927
2019-09-17,30,27,30,26,2019-09-17,16355
2019-09-18,22,27,29,22,2019-09-18,12066
2019-09-19,19,23,23,18,2019-09-19,19733
2019-09-20,21,14,24,14,2019-09-20,14761
2019-09-21,24,23,24,19,2019-09-21,19410
2019-09-22,15,25,25,15,2019-09-22,17238
2019-09-23,23,20,26,18,2019-09-23,10840
2019-09-24,18,25,26,17,2019-09-24,17668
2019-09-25,23,28,29,23,2019-09-25,19267
2019-09-26,30,26,31,26,2019-09-26,18340
2019-09-27,33,28,37,27,2019-09-27,18905
2019-09-28,26,25,34,25,2019-09-28,16682
2019-09-29,31,27,32,24,2019-09-29,12605
2019-09-30,30,31,32,23,2019-09-30,12702
2019-10-01,37,31,38,29,2019-10-01,17485
2019-10-02,41,39,42,39,2019-10-02,12198
2019-10-03,39,45,46,37,2019-10-03,14923
2019-10-04,41,48,50,41,2019-10-04,10326
2019-10-05,41,44,47,40,2019-10-05,17738
2019-10-06,47,49,52,46,2019-10-06,13330
2019-10-07,47,45,48,38,2019-10-07,19102
2019-10-08,43,44,45,39,2019-10-08,16682
2019-10-09,40,32,41,32,2019-10-09,12813
2019-10-10,46,38,46,36,2019-10-10,12306
2019-10-11,44,42,45,38,2019-10-11,17205
2019-10-12,44,44,44,35,2019-10-12,14736
2019-10-13,39,41,42,34,2019-10-13,19296
2019-10-14,34,31,34,31,2019-10-14,12587
2019-10-15,32,31,33,31,2019-10-15,14709
2019-10-16,42,36,43,36,2019-10-16,18555
2019-10-17,43,40,43,40,2019-10-17,18850
2019-10-18,37,41,41,37,2019-10-18,14650
2019-10-19,31,37,38,31,2019-10-19,10405
2019-10-20,26,34,35,26,2019-10-20,12074
2019-10-21,34,30,34,26,2019-10-21,17407
2019-10-22,23,32,32,22,2019-10-22,18649
2019-10-23,20,23,27,18,2019-10-23,16161
2019-10-24,20,18,20,18,2019-10-24,14008
